Run,Step,Agent,Reward
0,17,Lim,0.66
0,17,Ko,0.68
0,18,Lee,0.72
0,18,Shin,0.28
0,18,Kang,0.76
0,18,Lim,0.48
0,18,Ko,0.8
0,19,Lee,0.62
0,19,Shin,0.2
0,19,Kang,0.92
0,19,Lim,0.64
0,19,Ko,0.86
0,20,Lee,0.6
0,20,Shin,0.3
0,20,Kang,0.82
0,20,Lim,0.46
0,20,Ko,0.82
0,21,Lee,0.6
0,21,Shin,0.22
0,21,Kang,0.9
0,21,Lim,0.54
0,21,Ko,0.74
0,22,Lee,0.52
0,22,Shin,0.38
0,22,Kang,0.82
0,22,Lim,0.42
0,22,Ko,0.64
0,23,Lee,0.58
0,23,Shin,0.38
0,23,Kang,0.8
0,23,Lim,0.76
0,23,Ko,0.66
0,24,Lee,0.54
0,24,Shin,0.38
0,24,Kang,0.7
0,24,Lim,0.5
0,24,Ko,0.7
0,25,Lee,0.56
0,25,Shin,0.2
0,25,Kang,0.76
0,25,Lim,0.52
0,25,Ko,0.74
0,26,Lee,0.56
0,26,Shin,0.18
0,26,Kang,0.82
0,26,Lim,0.5
0,26,Ko,0.74
0,27,Lee,0.56
0,27,Shin,0.22
0,27,Kang,0.72
0,27,Lim,0.56
0,27,Ko,0.7
0,28,Lee,0.48
0,28,Shin,0.26
0,28,Kang,1.0
0,28,Lim,0.44
0,28,Ko,0.72
0,29,Lee,0.54
0,29,Shin,0.32
0,29,Kang,0.78
0,29,Lim,0.42
0,29,Ko,0.74
0,30,Lee,0.52
0,30,Shin,0.3
0,30,Kang,0.72
0,30,Lim,0.6
0,30,Ko,0.7
0,31,Lee,0.46
0,31,Shin,0.36
0,31,Kang,0.76
0,31,Lim,0.54
0,31,Ko,0.78
0,32,Lee,0.72
0,32,Shin,0.16
0,32,Kang,0.64
0,32,Lim,0.48
0,32,Ko,0.84
0,33,Lee,0.56
0,33,Shin,0.12
0,33,Kang,0.66
0,33,Lim,0.58
0,33,Ko,0.76
0,34,Lee,0.72
0,34,Shin,0.24
0,34,Kang,0.44
0,34,Lim,0.58
0,34,Ko,0.72
0,35,Lee,0.66
0,35,Shin,0.16
0,35,Kang,0.76
0,35,Lim,0.58
0,35,Ko,0.74
0,36,Lee,0.72
0,36,Shin,0.2
0,36,Kang,0.82
0,36,Lim,0.46
0,36,Ko,0.82
0,37,Lee,0.54
0,37,Shin,0.12
0,37,Kang,0.78
0,37,Lim,0.5
0,37,Ko,0.66
0,38,Lee,0.64
0,38,Shin,0.14
0,38,Kang,0.9
0,38,Lim,0.5
0,38,Ko,0.7
0,39,Lee,0.58
0,39,Shin,0.08
0,39,Kang,0.8
0,39,Lim,0.5
0,39,Ko,0.72
0,40,Lee,0.54
0,40,Shin,0.12
0,40,Kang,0.86
0,40,Lim,0.44
0,40,Ko,0.76
0,41,Lee,0.64
0,41,Shin,0.04
0,41,Kang,0.72
0,41,Lim,0.56
0,41,Ko,0.92
0,42,Lee,0.72
0,42,Shin,0.1
0,42,Kang,0.6
0,42,Lim,0.48
0,42,Ko,0.94
0,43,Lee,0.62
0,43,Shin,0.1
0,43,Kang,0.78
0,43,Lim,0.6
0,43,Ko,0.8
0,44,Lee,0.72
0,44,Shin,0.06
0,44,Kang,0.84
0,44,Lim,0.54
0,44,Ko,0.86
0,45,Lee,0.66
0,45,Shin,0.06
0,45,Kang,0.9
0,45,Lim,0.52
0,45,Ko,0.72
0,46,Lee,0.48
0,46,Shin,0.04
0,46,Kang,0.74
0,46,Lim,0.64
0,46,Ko,0.66
0,47,Lee,0.58
0,47,Shin,0.04
0,47,Kang,0.78
0,47,Lim,0.56
0,47,Ko,0.82
0,48,Lee,0.6
0,48,Shin,0.16
0,48,Kang,0.8
0,48,Lim,0.8
0,48,Ko,0.7
0,49,Lee,0.62
0,49,Shin,0.08
0,49,Kang,0.74
0,49,Lim,0.56
0,49,Ko,0.66
0,50,Lee,0.5
0,50,Shin,0.16
0,50,Kang,0.76
0,50,Lim,0.6
0,50,Ko,0.68
0,51,Lee,0.56
0,51,Shin,0.08
0,51,Kang,0.7
0,51,Lim,0.84
0,51,Ko,0.66
0,52,Lee,0.68
0,52,Shin,0.14
0,52,Kang,0.64
0,52,Lim,0.76
0,52,Ko,0.7
0,53,Lee,0.62
0,53,Shin,0.1
0,53,Kang,0.76
0,53,Lim,0.7
0,53,Ko,0.7
0,54,Lee,0.52
0,54,Shin,0.14
0,54,Kang,0.7
0,54,Lim,0.64
0,54,Ko,0.64
0,55,Lee,0.48
0,55,Shin,0.16
0,55,Kang,0.72
0,55,Lim,0.62
0,55,Ko,0.58
0,56,Lee,0.62
0,56,Shin,0.26
0,56,Kang,0.68
0,56,Lim,0.72
0,56,Ko,0.66
0,57,Lee,0.6
0,57,Shin,0.18
0,57,Kang,0.8
0,57,Lim,0.7
0,57,Ko,0.66
0,58,Lee,0.6
0,58,Shin,0.18
0,58,Kang,0.78
0,58,Lim,0.72
0,58,Ko,0.74
0,59,Lee,0.5
0,59,Shin,0.26
0,59,Kang,0.64
0,59,Lim,0.6
0,59,Ko,0.7
1,0,Lee,0.54
1,0,Shin,0.24
1,0,Kang,0.8
1,0,Lim,0.8
1,0,Ko,0.52
1,1,Lee,0.64
1,1,Shin,0.1
1,1,Kang,1.16
1,1,Lim,0.56
1,1,Ko,0.92
1,2,Lee,0.84
1,2,Shin,0.14
1,2,Kang,0.98
1,2,Lim,0.46
1,2,Ko,0.86
1,3,Lee,0.62
1,3,Shin,0.12
1,3,Kang,0.92
1,3,Lim,0.26
1,3,Ko,0.82
1,4,Lee,0.8
1,4,Shin,0.16
1,4,Kang,1.14
1,4,Lim,0.26
1,4,Ko,0.88
1,5,Lee,0.54
1,5,Shin,0.16
1,5,Kang,1.02
1,5,Lim,0.52
1,5,Ko,0.78
1,6,Lee,0.64
1,6,Shin,0.12
1,6,Kang,1.04
1,6,Lim,0.42
1,6,Ko,0.78
1,7,Lee,0.56
1,7,Shin,0.24
1,7,Kang,0.94
1,7,Lim,0.58
1,7,Ko,0.78
1,8,Lee,0.66
1,8,Shin,0.14
1,8,Kang,0.94
1,8,Lim,0.46
1,8,Ko,0.8
1,9,Lee,0.82
1,9,Shin,0.2
1,9,Kang,0.9
1,9,Lim,0.32
1,9,Ko,0.92
1,10,Lee,0.78
1,10,Shin,0.2
1,10,Kang,0.92
1,10,Lim,0.46
1,10,Ko,0.94
1,11,Lee,0.82
1,11,Shin,0.1
1,11,Kang,0.84
1,11,Lim,0.42
1,11,Ko,0.96
1,12,Lee,0.6
1,12,Shin,0.2
1,12,Kang,0.9
1,12,Lim,0.44
1,12,Ko,0.68
1,13,Lee,0.64
1,13,Shin,0.36
1,13,Kang,0.88
1,13,Lim,0.5
1,13,Ko,0.82
1,14,Lee,0.74
1,14,Shin,0.34
1,14,Kang,1.02
1,14,Lim,0.5
1,14,Ko,0.84
1,15,Lee,0.66
1,15,Shin,0.22
1,15,Kang,0.88
1,15,Lim,0.6
1,15,Ko,0.7
1,16,Lee,0.5
1,16,Shin,0.34
1,16,Kang,0.8
1,16,Lim,0.4
1,16,Ko,0.9
1,17,Lee,0.76
1,17,Shin,0.26
1,17,Kang,0.64
1,17,Lim,0.4
1,17,Ko,0.88
1,18,Lee,0.74
1,18,Shin,0.26
1,18,Kang,0.94
1,18,Lim,0.38
1,18,Ko,0.86
1,19,Lee,0.5
1,19,Shin,0.38
1,19,Kang,0.98
1,19,Lim,0.5
1,19,Ko,0.64
1,20,Lee,0.8
1,20,Shin,0.26
1,20,Kang,0.78
1,20,Lim,0.44
1,20,Ko,0.9
1,21,Lee,0.7
1,21,Shin,0.3
1,21,Kang,0.74
1,21,Lim,0.36
1,21,Ko,0.84
1,22,Lee,0.58
1,22,Shin,0.32
1,22,Kang,0.8
1,22,Lim,0.44
1,22,Ko,0.76
1,23,Lee,0.62
1,23,Shin,0.32
1,23,Kang,0.78
1,23,Lim,0.5
1,23,Ko,0.72
1,24,Lee,0.66
1,24,Shin,0.36
1,24,Kang,0.8
1,24,Lim,0.44
1,24,Ko,0.86
1,25,Lee,0.66
1,25,Shin,0.26
1,25,Kang,0.7
1,25,Lim,0.6
1,25,Ko,0.9
1,26,Lee,0.72
1,26,Shin,0.28
1,26,Kang,0.82
1,26,Lim,0.66
1,26,Ko,0.82
1,27,Lee,0.74
1,27,Shin,0.28
1,27,Kang,0.8
1,27,Lim,0.8
1,27,Ko,0.66
1,28,Lee,0.54
1,28,Shin,0.4
1,28,Kang,0.72
1,28,Lim,0.7
1,28,Ko,0.72
1,29,Lee,0.62
1,29,Shin,0.34
1,29,Kang,0.58
1,29,Lim,0.5
1,29,Ko,0.66
1,30,Lee,0.6
1,30,Shin,0.44
1,30,Kang,0.64
1,30,Lim,0.54
1,30,Ko,0.64
1,31,Lee,0.52
1,31,Shin,0.42
1,31,Kang,0.72
1,31,Lim,0.48
1,31,Ko,0.7
1,32,Lee,0.38
1,32,Shin,0.44
1,32,Kang,0.94
1,32,Lim,0.5
1,32,Ko,0.64
1,33,Lee,0.64
1,33,Shin,0.46
1,33,Kang,0.9
1,33,Lim,0.46
1,33,Ko,0.7
1,34,Lee,0.52
1,34,Shin,0.48
1,34,Kang,0.78
1,34,Lim,0.58
1,34,Ko,0.66
1,35,Lee,0.46
1,35,Shin,0.46
1,35,Kang,0.7
1,35,Lim,0.86
1,35,Ko,0.68
1,36,Lee,0.52
1,36,Shin,0.36
1,36,Kang,0.88
1,36,Lim,0.76
1,36,Ko,0.56
1,37,Lee,0.56
1,37,Shin,0.36
1,37,Kang,0.74
1,37,Lim,0.78
1,37,Ko,0.66
1,38,Lee,0.5
1,38,Shin,0.34
1,38,Kang,0.68
1,38,Lim,0.72
1,38,Ko,0.7
1,39,Lee,0.62
1,39,Shin,0.52
1,39,Kang,0.78
1,39,Lim,0.72
1,39,Ko,0.74
1,40,Lee,0.72
1,40,Shin,0.28
1,40,Kang,0.72
1,40,Lim,0.62
1,40,Ko,0.8
1,41,Lee,0.4
1,41,Shin,0.36
1,41,Kang,0.74
1,41,Lim,0.7
1,41,Ko,0.64
1,42,Lee,0.66
1,42,Shin,0.46
1,42,Kang,0.86
1,42,Lim,0.72
1,42,Ko,0.74
1,43,Lee,0.42
1,43,Shin,0.54
1,43,Kang,0.76
1,43,Lim,0.7
1,43,Ko,0.64
1,44,Lee,0.64
1,44,Shin,0.42
1,44,Kang,0.7
1,44,Lim,0.64
1,44,Ko,0.68
1,45,Lee,0.6
1,45,Shin,0.62
1,45,Kang,0.76
1,45,Lim,0.76
1,45,Ko,0.66
1,46,Lee,0.56
1,46,Shin,0.6
1,46,Kang,0.88
1,46,Lim,0.7
1,46,Ko,0.62
1,47,Lee,0.6
1,47,Shin,0.56
1,47,Kang,0.58
1,47,Lim,0.68
1,47,Ko,0.72
1,48,Lee,0.58
1,48,Shin,0.4
1,48,Kang,0.76
1,48,Lim,0.72
1,48,Ko,0.7
1,49,Lee,0.6
1,49,Shin,0.18
1,49,Kang,0.7
1,49,Lim,0.74
1,49,Ko,0.7
1,50,Lee,0.54
1,50,Shin,0.32
1,50,Kang,0.72
1,50,Lim,0.62
1,50,Ko,0.66
1,51,Lee,0.62
1,51,Shin,0.52
1,51,Kang,0.7
1,51,Lim,0.88
1,51,Ko,0.56
1,52,Lee,0.66
1,52,Shin,0.44
1,52,Kang,0.78
1,52,Lim,0.72
1,52,Ko,0.6
1,53,Lee,0.68
1,53,Shin,0.44
1,53,Kang,0.7
1,53,Lim,0.74
1,53,Ko,0.7
1,54,Lee,0.66
1,54,Shin,0.24
1,54,Kang,0.62
1,54,Lim,0.68
1,54,Ko,0.66
1,55,Lee,0.66
1,55,Shin,0.48
1,55,Kang,0.58
1,55,Lim,0.82
1,55,Ko,0.7
1,56,Lee,0.52
1,56,Shin,0.4
1,56,Kang,0.66
1,56,Lim,0.72
1,56,Ko,0.68
1,57,Lee,0.46
1,57,Shin,0.66
1,57,Kang,0.76
1,57,Lim,0.64
1,57,Ko,0.56
1,58,Lee,0.5
1,58,Shin,0.34
1,58,Kang,0.78
1,58,Lim,0.68
1,58,Ko,0.7
1,59,Lee,0.44
1,59,Shin,0.38
1,59,Kang,0.66
1,59,Lim,0.64
1,59,Ko,0.74
2,0,Lee,0.36
2,0,Shin,0.48
2,0,Kang,0.92
2,0,Lim,0.64
2,0,Ko,0.52
2,1,Lee,0.74
2,1,Shin,0.06
2,1,Kang,0.88
2,1,Lim,0.4
2,1,Ko,1.02
2,2,Lee,0.68
2,2,Shin,0.06
2,2,Kang,1.08
2,2,Lim,0.38
2,2,Ko,0.92
2,3,Lee,0.66
2,3,Shin,0.0
2,3,Kang,0.82
2,3,Lim,0.38
2,3,Ko,1.08
2,4,Lee,0.62
2,4,Shin,0.16
2,4,Kang,1.02
2,4,Lim,0.4
2,4,Ko,0.92
2,5,Lee,0.72
2,5,Shin,0.1
2,5,Kang,0.6
2,5,Lim,0.5
2,5,Ko,0.98
2,6,Lee,0.68
2,6,Shin,0.16
2,6,Kang,0.62
2,6,Lim,0.58
2,6,Ko,0.92
2,7,Lee,0.68
2,7,Shin,0.14
2,7,Kang,0.64
2,7,Lim,0.48
2,7,Ko,0.8
2,8,Lee,0.96
2,8,Shin,0.1
2,8,Kang,0.58
2,8,Lim,0.52
2,8,Ko,0.84
2,9,Lee,0.68
2,9,Shin,0.12
2,9,Kang,0.48
2,9,Lim,0.5
2,9,Ko,0.94
2,10,Lee,0.72
2,10,Shin,0.12
2,10,Kang,0.58
2,10,Lim,0.6
2,10,Ko,0.96
2,11,Lee,0.66
2,11,Shin,0.08
2,11,Kang,0.52
2,11,Lim,0.56
2,11,Ko,0.94
2,12,Lee,0.76
2,12,Shin,0.08
2,12,Kang,0.52
2,12,Lim,0.44
2,12,Ko,0.98
2,13,Lee,0.62
2,13,Shin,0.16
2,13,Kang,0.74
2,13,Lim,0.68
2,13,Ko,0.68
2,14,Lee,0.58
2,14,Shin,0.16
2,14,Kang,0.48
2,14,Lim,0.6
2,14,Ko,0.8
2,15,Lee,0.66
2,15,Shin,0.12
2,15,Kang,0.5
2,15,Lim,0.52
2,15,Ko,0.88
2,16,Lee,0.84
2,16,Shin,0.18
2,16,Kang,0.5
2,16,Lim,0.6
2,16,Ko,0.88
2,17,Lee,0.78
2,17,Shin,0.08
2,17,Kang,0.54
2,17,Lim,0.52
2,17,Ko,0.9
2,18,Lee,0.74
2,18,Shin,0.16
2,18,Kang,0.48
2,18,Lim,0.52
2,18,Ko,0.88
2,19,Lee,0.58
2,19,Shin,0.14
2,19,Kang,0.5
2,19,Lim,0.66
2,19,Ko,0.9
2,20,Lee,0.7
2,20,Shin,0.32
2,20,Kang,0.58
2,20,Lim,0.68
2,20,Ko,0.78
2,21,Lee,0.74
2,21,Shin,0.18
2,21,Kang,0.54
2,21,Lim,0.64
2,21,Ko,0.8
2,22,Lee,0.76
2,22,Shin,0.22
2,22,Kang,0.48
2,22,Lim,0.58
2,22,Ko,0.88
2,23,Lee,0.64
2,23,Shin,0.14
2,23,Kang,0.46
2,23,Lim,0.68
2,23,Ko,0.8
2,24,Lee,0.76
2,24,Shin,0.12
2,24,Kang,0.68
2,24,Lim,0.5
2,24,Ko,0.84
2,25,Lee,0.62
2,25,Shin,0.14
2,25,Kang,0.32
2,25,Lim,0.72
2,25,Ko,0.76
2,26,Lee,0.52
2,26,Shin,0.1
2,26,Kang,0.5
2,26,Lim,0.7
2,26,Ko,0.72
2,27,Lee,0.6
2,27,Shin,0.24
2,27,Kang,0.46
2,27,Lim,0.64
2,27,Ko,0.72
2,28,Lee,0.66
2,28,Shin,0.22
2,28,Kang,0.38
2,28,Lim,0.52
2,28,Ko,0.88
2,29,Lee,0.68
2,29,Shin,0.26
2,29,Kang,0.48
2,29,Lim,0.62
2,29,Ko,0.8
2,30,Lee,0.74
2,30,Shin,0.16
2,30,Kang,0.52
2,30,Lim,0.66
2,30,Ko,0.86
2,31,Lee,0.7
2,31,Shin,0.14
2,31,Kang,0.44
2,31,Lim,0.74
2,31,Ko,0.84
2,32,Lee,0.7
2,32,Shin,0.14
2,32,Kang,0.34
2,32,Lim,0.72
2,32,Ko,0.76
2,33,Lee,0.58
2,33,Shin,0.2
2,33,Kang,0.38
2,33,Lim,0.44
2,33,Ko,0.82
2,34,Lee,0.38
2,34,Shin,0.28
2,34,Kang,0.54
2,34,Lim,0.78
2,34,Ko,0.6
2,35,Lee,0.68
2,35,Shin,0.2
2,35,Kang,0.4
2,35,Lim,0.6
2,35,Ko,0.84
2,36,Lee,0.82
2,36,Shin,0.16
2,36,Kang,0.5
2,36,Lim,0.68
2,36,Ko,0.78
2,37,Lee,0.72
2,37,Shin,0.24
2,37,Kang,0.54
2,37,Lim,0.54
2,37,Ko,0.74
2,38,Lee,0.62
2,38,Shin,0.2
2,38,Kang,0.44
2,38,Lim,0.72
2,38,Ko,0.78
2,39,Lee,0.54
2,39,Shin,0.28
2,39,Kang,0.36
2,39,Lim,0.68
2,39,Ko,0.72
2,40,Lee,0.54
2,40,Shin,0.26
2,40,Kang,0.38
2,40,Lim,0.92
2,40,Ko,0.66
2,41,Lee,0.56
2,41,Shin,0.16
2,41,Kang,0.44
2,41,Lim,0.6
2,41,Ko,0.76
2,42,Lee,0.48
2,42,Shin,0.3
2,42,Kang,0.44
2,42,Lim,0.66
2,42,Ko,0.76
2,43,Lee,0.48
2,43,Shin,0.24
2,43,Kang,0.38
2,43,Lim,0.72
2,43,Ko,0.7
2,44,Lee,0.54
2,44,Shin,0.42
2,44,Kang,0.44
2,44,Lim,0.7
2,44,Ko,0.6
2,45,Lee,0.64
2,45,Shin,0.3
2,45,Kang,0.4
2,45,Lim,0.56
2,45,Ko,0.7
2,46,Lee,0.64
2,46,Shin,0.2
2,46,Kang,0.36
2,46,Lim,0.58
2,46,Ko,0.74
2,47,Lee,0.62
2,47,Shin,0.14
2,47,Kang,0.32
2,47,Lim,0.62
2,47,Ko,0.84
2,48,Lee,0.62
2,48,Shin,0.18
2,48,Kang,0.32
2,48,Lim,0.76
2,48,Ko,0.72
2,49,Lee,0.58
2,49,Shin,0.28
2,49,Kang,0.54
2,49,Lim,0.82
2,49,Ko,0.66
2,50,Lee,0.54
2,50,Shin,0.2
2,50,Kang,0.34
2,50,Lim,0.74
2,50,Ko,0.54
2,51,Lee,0.36
2,51,Shin,0.2
2,51,Kang,0.46
2,51,Lim,0.72
2,51,Ko,0.7
2,52,Lee,0.72
2,52,Shin,0.08
2,52,Kang,0.36
2,52,Lim,0.68
2,52,Ko,0.72
2,53,Lee,0.4
2,53,Shin,0.2
2,53,Kang,0.48
2,53,Lim,0.66
2,53,Ko,0.78
2,54,Lee,0.58
2,54,Shin,0.32
2,54,Kang,0.24
2,54,Lim,0.74
2,54,Ko,0.72
2,55,Lee,0.58
2,55,Shin,0.28
2,55,Kang,0.28
2,55,Lim,0.76
2,55,Ko,0.72
2,56,Lee,0.44
2,56,Shin,0.2
2,56,Kang,0.28
2,56,Lim,0.66
2,56,Ko,0.66
2,57,Lee,0.76
2,57,Shin,0.2
2,57,Kang,0.48
2,57,Lim,0.48
2,57,Ko,0.84
2,58,Lee,0.44
2,58,Shin,0.12
2,58,Kang,0.36
2,58,Lim,0.6
2,58,Ko,0.8
2,59,Lee,0.58
2,59,Shin,0.16
2,59,Kang,0.5
2,59,Lim,0.9
2,59,Ko,0.7
